_ID_	_MAIN_CATEGORY_	POST_TITLE	_MODEL_	_MANUFACTURER_	_PRICE_	_HTML_TITLE_	_HTML_H1_	_DESCRIPTION_	_IMAGE_	_SEO_KEYWORD_	_IMAGES_			
400	Цветы поштучно|Импортная роза	Роза Freedom			62	Импортная роза - Роза Freedom		"<p><strong>Состав<strong>:&nbsp;</strong></strong><br />искусственная кожа</p>
<p>Длина изделия: 100 см.<br />Ширина изделия (ремня): 14 мм.</p><br>Цвет-белый<br>"	data/1000.jpg					
401	Цветы поштучно|Импортная роза	Роза Mondial			62	Импортная роза - Роза Mondial		"<p><strong>Состав<strong>:&nbsp;</strong></strong><br />искусственная кожа</p>
<p>Длина изделия: 100 см.<br />Ширина изделия (ремня): 14 мм.</p><br>Цвет-белый<br>"	data/1001.jpg					
402	Цветы поштучно|Импортная роза	Роза Topaz			62	Импортная роза - Роза Topaz		"<p><strong>Состав<strong>:&nbsp;</strong></strong><br />искусственная кожа</p>
<p>Длина изделия: 100 см.<br />Ширина изделия (ремня): 14 мм.</p><br>Цвет-красный<br>Размер-ONE"	data/1002.jpg					
403	Цветы поштучно|Импортная роза	Роза Sweetness			65	Импортная роза - Роза Sweetness		"<p><strong>Состав<strong>:&nbsp;</strong></strong><br />искусственная кожа</p>
<p>Длина изделия: 100 см.<br />Ширина изделия (ремня): 14 мм.</p><br>Цвет-черный<br>Размер-ONE"	data/1003.jpg					
404	Цветы поштучно|Импортная роза	Роза Forever Young			62	Импортная роза - Роза Forever Young		"<p><strong>Состав:&nbsp;</strong>100% вискоза</p>
<p><strong>Размерная сетка модели:&nbsp;</strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
<td align=""center"">XL</td>
<td align=""center"">XXL</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
<td align=""center"">104</td>
<td align=""center"">108</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">70</td>
<td align=""center"">76</td>
<td align=""center"">82</td>
<td align=""center"">88</td>
<td align=""center"">94</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
<td align=""center"">104</td>
<td align=""center"">108</td>
</tr>
</tbody>
</table>
<p><strong>Параметры:&nbsp;<br /></strong>Длина изделия:&nbsp;70 см, для всех размеров.<strong><br /></strong>Рост&nbsp; модели на фото - 185 см.</p><br>Цвет-принт<br>Размер-M, L, XL"	data/1004.jpg					
405	Цветы поштучно|Импортная роза	Роза Dolce Vita			65	Импортная роза - Роза Dolce Vita		"<p><strong>Состав:&nbsp;</strong>100% вискоза</p>
<p><strong>Размерная сетка модели:&nbsp;</strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
<td align=""center"">XL</td>
<td align=""center"">XXL</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
<td align=""center"">104</td>
<td align=""center"">108</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">70</td>
<td align=""center"">76</td>
<td align=""center"">82</td>
<td align=""center"">88</td>
<td align=""center"">94</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
<td align=""center"">104</td>
<td align=""center"">108</td>
</tr>
</tbody>
</table>
<p><strong>Параметры:&nbsp;<br /></strong>Длина изделия:&nbsp;70 см, для всех размеров.<strong><br /></strong>Рост&nbsp; модели на фото - 185 см.</p><br>Цвет-принт<br>Размер-M, L, XL, XXL"	data/1005.jpg					
406	Цветы поштучно|Импортная роза	Роза Iguana			65	Импортная роза - Роза Iguana		"<p><strong>Состав:&nbsp;</strong>100% вискоза</p>
<p><strong>Размерная сетка модели:&nbsp;</strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
<td align=""center"">XL</td>
<td align=""center"">XXL</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
<td align=""center"">104</td>
<td align=""center"">108</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">70</td>
<td align=""center"">76</td>
<td align=""center"">82</td>
<td align=""center"">88</td>
<td align=""center"">94</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
<td align=""center"">104</td>
<td align=""center"">108</td>
</tr>
</tbody>
</table>
<p><strong>Параметры:&nbsp;<br /></strong>Длина изделия:&nbsp;70 см, для всех размеров.<strong><br /></strong>Рост&nbsp; модели на фото - 185 см.</p><br>Цвет-принт<br>Размер-M, L, XL, XXL"	data/1006.jpg					
407	Цветы поштучно|Импортная роза	Роза Polar Star			62	Импортная роза - Роза Polar Star		"<p><strong>Состав: </strong>100% вискоза</p>
<p><strong>Размерная сетка модели:&nbsp;</strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">70</td>
<td align=""center"">76</td>
<td align=""center"">82</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры:&nbsp;<br /></strong>Длина изделия: 65 см, длина рукава: 18 см. Для всех размеров.<br />Рост модели на фото: 174 см.&nbsp;&nbsp;</p><br>Цвет-принт<br>Размер-S, M, L"	data/1007.jpg					
408	Цветы поштучно|Украинская роза	Роза Гран При			45	Украинская роза - Роза Гран При		"<p><strong>Состав:&nbsp;</strong>100% вискоза</p>
<p><strong>Размерная сетка модели:&nbsp;</strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">70</td>
<td align=""center"">76</td>
<td align=""center"">82</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры:&nbsp;<br /></strong>Длина изделия: 65 см, длина рукава: 18 см. Для всех размеров.<br />Рост модели на фото: 174 см. &nbsp;</p><br>Цвет-принт<br>Размер-XXL"	data/1008.jpg		data/1009.png			
409	Цветы поштучно|Украинская роза	Роза Аваланч			43	Украинская роза - Роза Аваланч		"<p><strong>Состав:&nbsp;<br /></strong>100% вискоза</p>
<p><strong>Размерная сетка модели:&nbsp;</strong></p>
<table border=""0"">
<tbody>
<tr>
<td align=""center"">&nbsp;</td>
<td align=""center"">S</td>
<td align=""center"">M</td>
<td align=""center"">L</td>
</tr>
<tr>
<td align=""left"">Обхват груди (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
<tr>
<td align=""left"">Обхват талии (см)</td>
<td align=""center"">70</td>
<td align=""center"">76</td>
<td align=""center"">82</td>
</tr>
<tr>
<td align=""left"">Обхват бедер (см)</td>
<td align=""center"">92</td>
<td align=""center"">96</td>
<td align=""center"">100</td>
</tr>
</tbody>
</table>
<p><strong>Параметры:&nbsp;<br /></strong>Длина изделия: 65 см, длина рукава: 18 см. Для всех размеров.<br />Рост модели на фото: 174 см.&nbsp;&nbsp;</p><br>Цвет-принт<br>Размер-S, M, XL, XXL"	data/1010.jpg		data/1011.png			
